,mean_displacement,SEM,STD,data_set,location,time
27,41.829937304075244,0.12741275982784958,5.351335912769684,190314,Bone Front,4.5
28,42.29642483952829,0.12849776116273293,5.3969059688347825,190314,Bone Front,4.666666666666667
29,43.40487099107785,0.15162678382845124,5.913444569309598,190314,Bone Front,4.833333333333333
30,44.07804838839321,0.15871899490081084,6.190040801131621,190314,Bone Front,5.0
31,44.615585563861416,0.16652812288191324,6.494596792394616,190314,Bone Front,5.166666666666667
32,44.67084639498432,0.1750654989747581,6.652488961040808,190314,Bone Front,5.333333333333333
33,45.078163669361494,0.17821551745485034,6.772189663284314,190314,Bone Front,5.5
34,45.54219600725952,0.18287800613690733,6.949364233202479,190314,Bone Front,5.666666666666667
35,46.18926332288401,0.20214753706466887,7.277311334328079,190314,Bone Front,5.833333333333333
36,47.04993282579487,0.21530430511185736,7.535650678915008,190314,Bone Front,6.0
0,0.0,0.0,0.0,200120,Bone Front,0.0
1,0.7836990595611281,0.02076886973130093,1.0799812260276485,200120,Bone Front,0.16666666666666666
2,1.1001929105377382,0.024741835906290977,1.2865754671271308,200120,Bone Front,0.3333333333333333
3,1.7294128285507602,0.029060650357322887,1.5111538185807902,200120,Bone Front,0.5
4,2.558325295394261,0.04427015680802577,2.30204815401734,200120,Bone Front,0.6666666666666666
5,3.7941584277791183,0.04875789723252756,2.5354106560914333,200120,Bone Front,0.8333333333333334
6,5.252290812635642,0.056507283112261615,2.9383787218376036,200120,Bone Front,1.0
7,7.075898239691345,0.06333504820878708,3.2934225068569285,200120,Bone Front,1.1666666666666667
8,9.901736194839645,0.07359416219246373,3.8268964340081135,200120,Bone Front,1.3333333333333333
9,12.855678803954664,0.08393255133185132,4.364492669256268,200120,Bone Front,1.5
10,15.216823406478579,0.0851023120485347,4.34021791447527,200120,Bone Front,1.6666666666666667
11,17.571762247218636,0.08749922529654268,4.462460490123677,200120,Bone Front,1.8333333333333333
12,19.212151945417663,0.09003523715122863,4.5917970947126605,200120,Bone Front,2.0
13,21.229024525170573,0.09446888070196167,4.817912915800045,200120,Bone Front,2.1666666666666665
14,23.14601389145,0.096416007514562,4.917216383242661,200120,Bone Front,2.3333333333333335
15,25.016903313049358,0.09799225806254057,4.997605161189568,200120,Bone Front,2.5
16,26.745651238551854,0.09755683934876837,4.975398806787187,200120,Bone Front,2.6666666666666665
17,27.9672997725736,0.10004487033436588,5.102288387052661,200120,Bone Front,2.8333333333333335
18,29.78824758743623,0.10542795446248024,5.376825677586492,200120,Bone Front,3.0
19,31.240395844858316,0.1040335729491722,5.305712220407783,200120,Bone Front,3.1666666666666665
20,32.442836068596705,0.11205485075684248,5.714797388598965,200120,Bone Front,3.3333333333333335
21,33.13049357674104,0.1175230374679758,5.993674910866767,200120,Bone Front,3.5
22,33.45703485155816,0.12135434080291407,6.189071380948619,200120,Bone Front,3.6666666666666665
23,33.860409367508765,0.12797938797366706,6.52694878665702,200120,Bone Front,3.8333333333333335
24,34.167742332042536,0.12954665081291522,6.606879191458678,200120,Bone Front,4.0
25,34.567275185936445,0.1300219698561476,6.631120462663528,200120,Bone Front,4.166666666666667
